Propérty,Janitorial ,Porter,Maintance ,Concierge
1500 HABOR BOULEVARD,$23.32,,,
Hallmark Arms Condominium,$35.50,,,
MONACO NORTH AND SOUTH,,,,
Observer Park Hoboken,$29.11,,,
SHEFFIELD,$21.77,,,
THE DISTRICT,$22.69,,,
VIVIAN,$22.69,,,
The Cynwyd,$21.41,$23.02,,
Grayson Lofts,$23.27,$25.50,,
100 House at The Enclave,$22.83,$23.90,,
100 Water Street Development LLC,$36.90,,,
100 Water Street Development LLC,$36.14,,,
1330 The Randolph,$24.75,,,
150 Main street LLC. Quarry Place at Tuckahoe,$27.76,,,
18 Dock,$26.85,,,
1911 Walnut Street Condominium Association,$22.98,,,
1909 Rittenhouse,,$22.98,,
295 J Jersey City,$25.22,,,
3 Journal Square Jersey City,$35.39,,,
3060 JFK LLC (Le Leo),$33.80,,,
3060 JFK LLC (Le Leo),$36.14,,,
333 River Street,$33.80,,,
340 Third Street,$33.80,,,
422 Fulton St,$36.50,,,
440 Hamilton,$25.37,,,
50 Columbus,$33.80,,,
57 Alexander,$25.14,,,
55 Riverwalk,,,,$25.02
63 Franklin,$115.00,,,
70 Columbus,$38.34,,,
70 Columbus (GRILLS),$38.34,,,
90 Columbus,$39.78,,,
99 Bishop,$110.00,,,
335 Bala,$21.94,,,
500 Parq,$22.40,,,
"AHP BGO 1 Seymour Owner Urban Renewal, LLC",$25.45,,,
Broadway 250,$24.00,,,
CANTER GREEN,$23.00,,,
Chase Partners Warren LLC (Aster Grove),$22.99,,,
Colombus Townhomes,$39.33,,,
"According Harrison Urban Renewal, LLC                                                          ""HARRISON YARD""",$23.93,,,
"According Harrison Urban Renewal, LLC 
""HARRISON YARD II""",$23.93,,,
Atlee Square,$23.64,$25.30,,
Bay One,$22.69,,,
Beckon Collective,$23.76,,,
BLVD & Bond,$21.92,,,
Bridgepoint at Bayonne,$22.30,,,
BROOKSIDE,$22.33,,,
"Broad Street Urban Renewal, LLC",$27.84,,,
Boston Bar Association,$31.06,,,
Beach House,$22.90,,,
Bowdoin Apartments,$23.75,,,
CHANCERY SQUARE,$23.26,,,
CLIPPERSHIP - 3157 DNO,$21.50,,,
CLIPPERSHIP - 3059 Apartments,$21.50,,,
Slip45,$21.83,,,
Slip65,$23.24,,,
"CLUBHOUSE "" 24 Port Imperial""",$21.85,,,$25.02
Cobbet Hill Apartments,$23.00,,,
Comanche Biopharma,$55.00,,,
Courtyard Jefferson Hoboken,$23.43,,,
Dallas Urby Tower 2,$22.13,,,
Dallas Urby Tower 1,$22.13,,,
"Devan Propco, LLC",$33.80,,,
Extra Mint Urban Renewal LLC - Phase I,$22.30,$24.95,,
Extra Mint Urban Renewal LLC - Phase II,$22.30,$24.95,,
Edgewater Owner II,$21.94,,,
ESTUARY,$24.05,,,
Fairview,,,,$22.91
